10	373.664684	187.193796
20	171.681090	52.034468
30	178.037559	58.018017
40	176.513542	55.317835
50	153.889529	46.308614
60	107.463353	26.946567
70	630.736037	146.395999
80	761.975612	445.671530
90	702.420742	161.201851
100	722.347593	350.403600
110	NaN	NaN
120	609.700960	148.689848
130	NaN	NaN
140	NaN	NaN
150	NaN	NaN
160	NaN	NaN
170	NaN	NaN
180	NaN	NaN
190	NaN	NaN
200	NaN	NaN
210	NaN	NaN
220	NaN	NaN
230	NaN	NaN
240	NaN	NaN
250	NaN	NaN
260	NaN	NaN
270	NaN	NaN
280	NaN	NaN
290	NaN	NaN
300	NaN	NaN
